disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,temperature,recommendation,symptoms
hepatitis A,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,muscle_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes"
hepatitis A,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,muscle_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes"
hepatitis A,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,muscle_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes"
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,muscle_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes"
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,muscle_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes"
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,muscle_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes"
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,muscle_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes"
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,malaise,receiving_blood_transfusion,receiving_unsterile_injections,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes"
Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"fatigue,receiving_blood_transfusion,receiving_unsterile_injections,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise"
Hepatitis B,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,receiving_blood_transfusion,receiving_unsterile_injections,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise"
Hepatitis B,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,receiving_blood_transfusion,receiving_unsterile_injections,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise"
Hepatitis B,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,receiving_blood_transfusion,receiving_unsterile_injections,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise"
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,receiving_blood_transfusion,receiving_unsterile_injections,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise"
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,receiving_blood_transfusion,receiving_unsterile_injections,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise"
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,receiving_blood_transfusion,receiving_unsterile_injections,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise"
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,,37.5-38.5°C / 99.5-101.3°F,See a doctor for antiviral treatment and monitoring; avoid alcohol. Practice safe sex and avoid sharing needles/personal items to prevent transmission. Family members should be screened and vaccinated if not immune.,"itching,receiving_blood_transfusion,receiving_unsterile_injections,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise"
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Consult a doctor about antiviral treatment, which can cure most cases. Avoid alcohol and get regular liver function monitoring. Avoid sharing needles or personal items that may carry blood.","fatigue,yellowish_skin,nausea,loss_of_appetite,family_history"
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Consult a doctor about antiviral treatment, which can cure most cases. Avoid alcohol and get regular liver function monitoring. Avoid sharing needles or personal items that may carry blood.","fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
Hepatitis C,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Consult a doctor about antiviral treatment, which can cure most cases. Avoid alcohol and get regular liver function monitoring. Avoid sharing needles or personal items that may carry blood.","yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
Hepatitis C,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Consult a doctor about antiviral treatment, which can cure most cases. Avoid alcohol and get regular liver function monitoring. Avoid sharing needles or personal items that may carry blood.","fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history"
Hepatitis C,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Consult a doctor about antiviral treatment, which can cure most cases. Avoid alcohol and get regular liver function monitoring. Avoid sharing needles or personal items that may carry blood.","fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history"
Hepatitis C,fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Consult a doctor about antiviral treatment, which can cure most cases. Avoid alcohol and get regular liver function monitoring. Avoid sharing needles or personal items that may carry blood.","fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history"
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Consult a doctor about antiviral treatment, which can cure most cases. Avoid alcohol and get regular liver function monitoring. Avoid sharing needles or personal items that may carry blood.","fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,abdominal_pain,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,abdominal_pain,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes"
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"This occurs alongside Hepatitis B, so treatment focuses on managing both. Avoid alcohol, seek specialist care, and get vaccinated against Hepatitis B if not already immune (which also prevents Hepatitis D).","joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain"
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,yellowing_of_eyes,coma,stomach_bleeding,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain"
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain"
Hepatitis E,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","vomiting,acute_liver_failure,coma,stomach_bleeding,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis E,joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,acute_liver_failure,coma,stomach_bleeding,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis E,joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,acute_liver_failure,coma,stomach_bleeding,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis E,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,acute_liver_failure,coma,stomach_bleeding,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,acute_liver_failure,coma,stomach_bleeding,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,acute_liver_failure,coma,stomach_bleeding,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,,38.0-39.0°C / 100.4-102.2°F,"Rest, stay hydrated, and avoid alcohol; most cases resolve on their own. Pregnant women should seek prompt medical care, as it can be more severe. Seek emergency care for confusion or signs of liver failure.","joint_pain,acute_liver_failure,coma,stomach_bleeding,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload"
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,Complete abstinence from alcohol is essential. Seek medical care for nutritional support and monitoring; severe cases may need hospitalization. Consider counseling or support programs for alcohol use.,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption"
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,37.5-38.5°C / 99.5-101.3°F,"Complete the full course of prescribed anti-TB medication, even after feeling better, to prevent drug resistance. Cover coughs, ensure good ventilation, and get contacts screened. Don't stop treatment early.","chills,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite"
Tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,37.5-38.5°C / 99.5-101.3°F,"Complete the full course of prescribed anti-TB medication, even after feeling better, to prevent drug resistance. Cover coughs, ensure good ventilation, and get contacts screened. Don't stop treatment early.","vomiting,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever"
Tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,37.5-38.5°C / 99.5-101.3°F,"Complete the full course of prescribed anti-TB medication, even after feeling better, to prevent drug resistance. Cover coughs, ensure good ventilation, and get contacts screened. Don't stop treatment early.","chills,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever"
Tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,37.5-38.5°C / 99.5-101.3°F,"Complete the full course of prescribed anti-TB medication, even after feeling better, to prevent drug resistance. Cover coughs, ensure good ventilation, and get contacts screened. Don't stop treatment early.","chills,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever"
Tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,37.5-38.5°C / 99.5-101.3°F,"Complete the full course of prescribed anti-TB medication, even after feeling better, to prevent drug resistance. Cover coughs, ensure good ventilation, and get contacts screened. Don't stop treatment early.","chills,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever"
Tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,,37.5-38.5°C / 99.5-101.3°F,"Complete the full course of prescribed anti-TB medication, even after feeling better, to prevent drug resistance. Cover coughs, ensure good ventilation, and get contacts screened. Don't stop treatment early.","chills,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever"
